university;study_programme
University of Cambridge;Sustainability Leadership
University of Oxford;Condensed Matter Physics
Cardiff University;Health, Security and the Digital World
University of Essex;European Studies with German
University of Edinburgh;Law
Coventry University;Psychology
University of Cambridge;Biological Science — MRC Laboratory of Molecular Biology
University of Oxford;Chemistry
University College London;Early Years Initial Teacher Training
Coventry University;Illustration and Graphics
University of Kent at Canterbury;Biochemistry with a Sandwich Year
University College London;Psychological Sciences
University of Birmingham;Severe, Profound and Multiple Learning Difficulties
The Queen's University Belfast;Aerospace Engineering (Sandwich)
Cardiff University;Economics
Bournemouth University;Law and Taxation
University of East Anglia;English Literature and Philosophy
University of Essex;Politics and Sociology (including Year Abroad)
University of Oxford;Diamond Science and Technology
University College London;Environmental Modelling
University of Kent at Canterbury;Asian Studies and Comparative Literature
University of Essex;International Relations and Modern Languages
University of Oxford;Oriental Studies
The Queen's University Belfast;Computer Science
University of Southampton;Management Research Programmes
University of Dundee;International Business
University of Greenwich;Business Entrepreneurship and Innovation
London School of Economics and Political Science;Philosophy, Logic and Scientific Method
University of Kent at Canterbury;Social Sciences with a Year in Professional Practice (subject to Approval)
University of Dundee;Politics with German
Imperial College London;Mathematics
Imperial College London;Biochemistry with Management
University College London;Civil Engineering with Geographic Information Science
University College London;Language Sciences with specialisation in Linguistics with Neuroscience
University of Sunderland;Hospitality Management
University of Birmingham;Hispanic Studies
University of Essex;International Economics (including Year Abroad)
University of Greenwich;Business Administration with Marketing
University of Kent at Canterbury;Biology with a Year Abroad
University of Lincoln;Pharmaceutical Science
The Queen's University Belfast;Applied Mathematics and Physics
University College London;Greek and English
University of Derby;Cognitive Behavioural Psychotherapy
Glasgow Caledonian University;Mechanical Electronic Systems Engineering
Kingston University;Informormation Technology for Supply Chain Logistics
University of Greenwich;Biological Sciences Hons
Glasgow Caledonian University;Cell and Molecular Biology
University of Oxford;Classical Archaeology and Ancient History
Swansea University;Management (Marketing)
University of Kent at Canterbury;Actuarial Science
The Queen's University Belfast;Civil Engineering
University of Kent at Canterbury;History and Film
University of East Anglia;Translation, Media and Spanish (3 Years)
University of Dundee;Biological Chemistry and Drug Discovery
University College London;Data Science with specialisation in Statistics
University of Greenwich;Events Management
University of Essex;Computer Games (including Year Abroad)
University College London;Anthropology Environment and Development
University College London;Language Sciences with specialisation in Neuroscience and Communication
University College London;Language Culture and History
University of Chester;Business Administration
Metropolitan University;Architecture and Interior Design
Brunel University Uxbridge;Theatre and English
University of Birmingham;Drama and Theatre Arts
The Queen's University Belfast;Physics
University College London;Mathematics and Physics
University of Kent at Canterbury;Social Anthropology with German
The University of Buckingham;International Studies with French
Kingston University;Construction Management and Construction Law
University of Sunderland;Engineering Management
University of Cambridge;Management Studies
University of Kent at Canterbury;Drama and English and American Literature
University of Oxford;Traditional China
Brunel University Uxbridge;Biomedical Sciences (Immunology)
University of Kent at Canterbury;French and Drama
Coventry University;Aerospace Technology
University of East Anglia;Film and Television Studies
University of Kent at Canterbury;Asian Studies and Italian
University of Essex;Mathematics, Cryptography and Network Security (including Year Abroad)
University of Oxford;Psychological Research
University College London;Paediatrics and Child Health Community Child Health
The Queen's University Belfast;Physics with Astrophysics
University College London;Biology
University of Hertfordshire;Clinical Medicine
University of Leeds;Flowability Assessment of Weakly Consolidated Powders
University of Essex;Computer Systems Engineering (including Year Abroad)
Metropolitan University;Sports Therapy
Cardiff University;Education
Glasgow Caledonian University;Quantity Surveying
The University of Buckingham;English Studies
University of Oxford;Jewish Studies
University of Oxford;Oncology
Middlesex University;Design Engineering
University of Dundee;Applied Computing: Human Computer Interaction
University of Birmingham;Computer Science and an Arts Subject Joint Honours
University of Cambridge;Physiology Development and Neuroscience
University College London;Medical Education
The Queen's University Belfast;Product Design and Development
University of Dundee;European Studies and History
University of Essex;Social and Cultural History
University of Kent at Canterbury;European History with a Year Abroad
University of Warwick;Food Security
University of Birmingham;Metallurgy and Materials
Glasgow Caledonian University;Management (Year 3 Direct Entry Only)
Loughborough University;Strategic Automotive Dealership Management (for Working Professionals)
University of Bath;Electronic and Electrical Engineering
University of Kent at Canterbury;Comparative Literature with a Year Abroad
University of East Anglia;Politics
University of Cambridge;Scientific Computing
University of Oxford;Biochemistry OU TSRI
University College London;Professional Education and Training
University of Kent at Canterbury;Cultural Studies, History and Philosophy of Art
University of Kent at Canterbury;History, English Language and Linguistics
University of Dundee;Graphic Design
University of Greenwich;Mechanical Engineering Technology
University of Dundee;American Studies with French
University of East Anglia;Chemical Physics with a Year in North America
Royal Holloway and Bedford New College;International Relations
University of Greenwich;Aquaculture and Fisheries Management
University of Law Business School;Law
University of Bradford;Economics and Finance for Development
The Queen's University Belfast;Civil Engineering
University of Kent at Canterbury;Cultural Studies (Hispanic Studies)
University of London;Tax Law (1 Year and 2 Years Part-time)
University of Dundee;English and Mathematics
University of Greenwich;Psychology with Counselling
University of Kent at Canterbury;Religious Studies, English and American Literature
University of Dundee;American Studies and Philosophy
University of Dundee;Scottish Historical Studies with Spanish
University of Kent at Canterbury;Social Psychology
University College London;Italian Studies UCL-Venice Double Degree
Kingston University;Cancer Biology
University of Bath;Knowledge Transfer and Knowledge Transfer Partnerships
School of Oriental and African Studies;Turkish Studies
University of Essex;Business Management
London School of Economics and Political Science;Statistics with Finance
The University of Buckingham;Psychology with Marketing
University of Kent at Canterbury;Hispanic Studies and Computing
University of Southampton;Film and English
University of Dundee;Scots Law
University of East Anglia;Philosophy (with a Foundation Year)
University of York;Economic and Social History
University of Sunderland;Public Relations
London School of Economics and Political Science;Development and Economics
Southampton Solent University;Manufacturing and Mechanical Engineering
University of Dundee;Law (Scots and English) Dual Qualifying
Imperial College London;Biotechnology with Research Abroad
University of Oxford;Philosophy and Modern Languages
University of Oxford;Classical Archaeology
University of Lancaster;Applied Linguistics and TESOL
Swansea University;Economics
University of Kent at Canterbury;Art History and Film
University of Kent at Canterbury;Classical and Archaeological Studies and Religious Studies
University of Kent at Canterbury;German and English Language and Linguistics
University College London;Mathematics with Mathematical Physicsi
University of Oxford;Tibetan and Himalayan Studies
University of Dundee;Electronic Engineering and Physics
University of Kent at Canterbury;Financial Mathematics
University of Kent at Canterbury;Marketing
University of Kent at Canterbury;Computing (Consultancy)
University of Bradford;Project Planning and Management
University of Kent at Canterbury;French
University of East Anglia;Modern Languages
University College London;Global Public Policy and Management EMPA
University of Dundee;Physics
University of Sunderland;Criminal Law and Procedure
University of East Anglia;Biological Sciences
University of Oxford;Social Science of the Internet
University Campus Suffolk;Bioscience (with Foundation Year)
University of Cambridge;Theoretical and Applied Linguistics
University College London;Management Science
Napier University;Design (Product)
University Campus Suffolk;Event Management
University of Kent at Canterbury;Comparative Literature and Philosophy
University of East Anglia;Children Nursing
Imperial College London;Biological Sciences with French for Science
University of Edinburgh;Chemical Physics
University of Cambridge;Education
University of Oxford;Systems Approaches to Biomedical Science
Bournemouth University;Midwifery
University of Oxford;Sleep Medicine
The Queen's University Belfast;Computer Science (Sandwich)
The Queen's University Belfast;Civil Engineering (Sandwich)
University of Essex;Biomedical Sciences
University of Cambridge;Biological Science
University College London;Ukrainian and East European Studies
University College London;Environmental Mapping
University of Sunderland;Sports Journalism
Brunel University Uxbridge;Biomedical Sciences (Forensic)
University of Kent at Canterbury;Social Anthropology and Economics
University College London;Financial Risk Management
Bournemouth University;Post Production Editing
University of East Anglia;Environmental Earth Sciences
University of Essex;Art History with Modern Languages (including Year Abroad)
University of Birmingham;History
University of Southampton;Computer Science
University of Greenwich;Digital Television and Interactive Media
University of Dundee;Philosophy with French
Manchester Metropolitan University;Life Sciences
University of Oxford;Law
University College London;Prenatal Genetics and Fetal Medicine
Chelsea College of Art and Design;Interior and Spatial Design
University of Essex;Modern Languages
University of Oxford;Mathematics
University of Essex;Financial Management
University of Essex;Information and Communication Technology
Southampton Solent University;Psychology
University College London;Astrophysics
Bournemouth University;Psychology
University of Cambridge;Medical Science — MRC Cancer Unit
University of Oxford;Oxford 1+1 Business Administration
University of Essex;Finance (including Year Abroad)
University of Essex;Acting and Community Theatre
London School of Economics and Political Science;Philosophy and Economics
The University of Buckingham;Communication, Media and Journalism
University of Essex;English Language and Linguistics
University of Dundee;Scottish Historical Studies
University of Law Business School;Legal Practice
University of Central Lancashire;Creative Advertising
Cardiff University;Mechanics, Materials, and Advanced Manufacturing
University of Oxford;Financial Economics
Brunel University Uxbridge;Film and Television Studies
University of Essex;History and Criminology
University College London;Developmental and Educational Psychology
Cardiff University;EPSRC Engineering
Brunel University Uxbridge;Sport, Health and Exercise Sciences (Coaching)
University of Kent at Canterbury;Business and Management with a Year in Industry
University of Dundee;History and Psychology
University of Warwick;Sociology
University College London;Archaeology of Egypt and the Near East
University of Birmingham;Philosophy of Religion and Ethics
University of Dundee;Computing
University College London;Environmental Geoscience
University of Law Business School;Law
Coventry University;Business Information Technology
University of Dundee;European Studies and Philosophy
University College London;Italian
The Queen's University Belfast;Computer Games Development (Sandwich) 
Imperial College London;Paediatrics and Child Health
University of Sunderland;Magazine Journalism
University of Greenwich;Creative Writing and English Literature
University of Lincoln;Engineering Management
Glasgow Caledonian University;Diagnostic Imaging
Bournemouth University;Archaeology
University of Oxford;Migration Studies
University of Oxford;Cognitive Behavioural Therapy
University College London;Environment and Sustainable Development
University College London;Inter-disciplinary Urban Design
University College London;Philosophy Politics and Economics of Health
University of Kent at Canterbury;French and English Language and Linguistics
University of Cambridge;Genomic Medicine
Brunel University Uxbridge;Advanced Manufacturing Systems
University of Essex;Computer Networks (including Year Abroad)
University of Greenwich;Nursing (Pre-Registration) — Mental Health Nursing
University of Dundee;Community Learning and Development
University of Dundee;Architecture
University of Essex;Electronic Engineering (including Year Abroad)
University of Kent at Canterbury;Classical and Archaeological Studies
University Campus Suffolk;Early Childhood Studies and Youth Studies
University of Oxford;Greek and-or Roman History
Metropolitan University;Journalism
Brunel University Uxbridge;Electronic and Electrical Engineering (Communications Systems)
Coventry University;Electrical and Electronic Engineering
University of East Anglia;Energy Engineering with Environmental Management (with a Year in Industry)
University College London;Education Health Promotion and International Development
University of Oxford;Modern South Asian Studies
Southampton Solent University;Photography
University of Essex;Accounting and Management (including foundation year)
University Campus Suffolk;Film
University College London;Paediatrics and Child Health Advanced Paediatrics
University of Gloucestershire;Accounting and Information Systems
University of Essex;Drama and Modern Languages
University of Greenwich;Computer Systems and Software Engineering
University Campus Suffolk;Photographic and Digital Media
University of Kent at Canterbury;Politics, International Relations, English Language and Linguistics
University of Surrey;Sociology
University of Cambridge;Critical Approaches to Childrens Literature
University of Kent at Canterbury;Biology with a Sandwich Year
Glasgow Caledonian University;Computer Aided Mechanical Engineering
Brunel University Uxbridge;Mathematics, MMath
Brunel University Uxbridge;Politics
Goldsmiths;Multilingualism, Linguistics and Education
Cardiff University;Studentship in Management, Employment and Organisation
Coventry University;Aerospace Systems Engineering
University of Dundee;History with French
University College London;Education Gender and International Development
University College London;Higher and Professional Education
University College London;Latin American Politics
University of Kent at Canterbury;Philosophy and Drama
University of Kent at Canterbury;Criminal Justice and Criminology with a Year in Professional Practice (subject to Approval)
Bangor University;Finance — London Centre
Brunel University Uxbridge;Social Work
University of Sunderland;Fashion Journalism
University of Essex;Mathematics with Economics (including Year Abroad)
University of Kent at Canterbury;Classical and Archaeological Studies and Italian
University of East Anglia;English Literature with Creative Writing
University of East Anglia;Occupational Therapy
University of Cambridge;Modern and Contemporary Literature
University of Oxford;Cyber Security
University College London;Naval Architecture
University of Essex;Literature and Sociology
University of Kent at Canterbury;Sociology and Social Anthropology with a Year in Finland
University of East Anglia;International Development Social Anthropology and Politics with Overseas Experience
University of Bradford;Marketing and Management
University of Greenwich;Digital Media Technologies
University of Oxford;Pharmacology
University of Greenwich;Business Administration with Accounting and Finance
University of Kent at Canterbury;Law (Medway)
University College London;English Issues in Modern Culture
University of Cambridge;Asian and Middle Eastern Studies — Japanese Studies
University of Nottingham;Scientific Computation
Glasgow Caledonian University;International Fashion Branding
University of Essex;Accounting (including foundation year)
University of Kent at Canterbury;Cultural Studies (Hispanic Studies)
University of Essex;Philosophy, Religion and Ethics (including Year Abroad)
University of Essex;Philosophy
University of Dundee;Product Design
University of East Anglia;Environmental Geography and Climate Change with a Year in Industry
University of Kent at Canterbury;Law and Welfare
University of Essex;Biological Sciences
Brunel University Uxbridge;History
London School of Economics and Political Science;History
University of Kent at Canterbury;Film
Brunel University Uxbridge;Specialist Community Public Health Nursing
University College London;Educational Planning Economics and International Development
Brunel University Uxbridge;Sport, Health and Exercise Sciences (Sport Development)
Brunel University Uxbridge;Automotive Engineering
University of Bradford;Advanced Civil and Structural Engineering
Brunel University Uxbridge;Electronic and Communications Engineering
University College London;Neuroscience
The Queen's University Belfast;International Business
Brunel University Uxbridge;Electronic and Communications Engineering
Imperial College London;Physics with Theoretical Physics
University of Cambridge;Music Studies
Cranfield University;MBA
University of Birmingham;Criminological Psychology
University of Cambridge;Natural Science
University of Cambridge;Anglo-Saxon Norse and Celtic
University of Oxford;Global and Imperial History
University of Essex;Business Administration
University College London;Natural Science
University College London;Biochemical Engineering
Imperial College London;Quality and Safety in Healthcare
The Queen's University Belfast;Criminology
University College London;Countering Organised Crime and Terrorism
University College London;Policy Studies in Education
University of Birmingham;Policy Into Practice (with Integrated Placement)
The Queen's University Belfast;Finance
University of Essex;Literature and Myth (including foundation year)
University of Kent at Canterbury;European Studies (Humanities) — Spanish or Italian
University of Kent at Canterbury;Computing
University of Sunderland;Sociology
University of Cambridge;Criticism and Culture
University College London;Ethnographic and Documentary Film — Practical
University of Oxford;Strategy and Innovation
The Queen's University Belfast;Built Environment
University of Kent at Canterbury;Art History and Classical and Archaeological Studies
University of Oxford;Global Business
Brunel University Uxbridge;International Politics
Royal Holloway and Bedford New College;Consumption, Culture and Marketing
King's College London;Theatre and Performance Studies
University College London;Archaeology
University of Essex;Sports and Exercise Science
Glasgow Caledonian University;Building Services Engineering
University of Kent at Canterbury;Film and Religious Studies
University of Essex;Criminology with Social Psychology
University College London;Architectural History
University College London;Linguistics with a specialisation in Syntax
University of Greenwich;Law
University College London;Public Administration and Management
Bournemouth University;Tourism Management
University of Kent at Canterbury;Computer Systems Engineering with a Year in Industry
University of East Anglia;Learning Disabilities Nursing
University of Essex;History and Sociology (including Year Abroad)
University of Oxford;History of Art
University of Dundee;Arts and Social Sciences without Honours
Brunel University Uxbridge;Anthropology and Sociology
University of Oxford;Sustainable Urban Development
Sheffield Hallam University;Supportive and Palliative Care
University of Dundee;Politics
University of Leeds;Biological Sciences (Biotechnology with Enterprise), MBiol
University of Kent at Canterbury;History and Politics
University of Dundee;Psychology with Spanish
The Queen's University Belfast;Sociology
University of Warwick;Interdisciplinary Mathematics
University of Cambridge;History
University of Kent at Canterbury;Computer Science (Networks) with a Year in Industry
University of Bradford;Management
University of Edinburgh;Marketing
University of York;Human Resource Management
University of Greenwich;Garden Design
University of Dundee;Geography and European Studies
University College London;Advanced Neuroimaging
University College London;Advanced Physiotherapy Neurophysiotherapy
University College London;Chemical Research
University of Oxford;Inorganic Chemistry
University College London;International Planning
Swansea University;Management (Tourism)
University of Essex;Modern Languages and English Language
University of Bradford;Filmmaking
London School of Economics and Political Science;International Development
University of Essex;Mathematics with Computing
University of Kent at Canterbury;Comparative Literature and English and American Literature
University of Warwick;Adult Education and Lifelong Learning
University of Cambridge;Clinical Medicine — Intensive Care
University of Oxford;Chromosome and Developmental Biology
University of East Anglia;Meteorology and Oceanography with a Year in North America
University of Greenwich;Counselling (top up)
Cardiff University;Studentship in Social Work and Education
University of Birmingham;Electronic, Electrical and Computing Engineering (Multimodal Interaction Technologies Specialism)
The Queen's University Belfast;Zoology
Imperial College London;Biotechnology with Spanish for Science
University of Cambridge;Psychiatry
Cardiff University;Architectural Practice
University of Birmingham;Geography
University of Greenwich;Forensic Science
University of Oxford;Sociology and Demography
University of Sunderland;Business and Human Resource Management
University of Birmingham;Social Policy
Glasgow Caledonian University;Building Surveying
London School of Economics and Political Science;Law
Middlesex University;Criminology
University of Cambridge;Latin American Studies
University College London;Educational Neuroscience
Metropolitan University;International Sports Management
University of Dundee;Scots Law with German
The Queen's University Belfast;Physics with Astrophysics
University of Essex;Media, Culture and Society (including Year Abroad)
Middlesex University;Biomedical Science (Haematology and Transfusion Science)
University of Sunderland;Business Computing
University of Greenwich;Business Information Technology
Royal Holloway and Bedford New College;Applied Social Psychology
University of Leeds;Politics and Parliamentary Studies
University of Essex;Accounting (including Year Abroad)
University of Dundee;American Studies and International Relations
University College London;Philosophy and Greek
The Queen's University Belfast;Electrical and Electronic Engineering (Sandwich)
University of Essex;Media, Culture and Society
University of Greenwich;Statistics
University College London;Linguistics with a specialisation in Pragmatics
University of Greenwich;Education Studies
University of Essex;History with Film Studies (including Year Abroad)
University of Greenwich;Chemistry
Bournemouth University;Archaeological, Anthropological and Forensic Sciences
University of Essex;Criminology (including Year Abroad)
London School of Business and Finance;ACCA
The Queen's University Belfast;Structural Engineering with Architecture
The Queen's University Belfast;Physics with Medical Applications
University of Dundee;Education (DEd)
Imperial College London;Theory and Simulation of Materials
University of Oxford;Genomic Medicine and Statistics
University of Lancaster;Accounting and Financial Management
University of East Anglia;Environmental Geography and Climate Change
University of Essex;Film Studies and Art History
University of Kent at Canterbury;Mathematics with Secondary Education
University College London;Cell and Gene Therapy
Cardiff University;Feminist Media Studies
University of Dundee;European Philosophy with German
Imperial College London;Geophysics with a Year Abroad
University of Greenwich;Sports Science
University of Southampton;Music
University of Southampton;Physics
University of Kent at Canterbury;Finance
University of Kent at Canterbury;Classical and Archaeological Studies and Film
University of Oxford;Bible Interpretation
University of Oxford;Learning and Technology
University of Cambridge;English — 18th Century and Romantic Literature
Heriot-Watt University;Architectural Project Management and Diploma
University of Kent at Canterbury;Actuarial Science with a Year in Industry
Coventry University;Architectural Technology
Brunel University Uxbridge;Biomedical Sciences (Genetics)
University of Edinburgh;Medical Sciences
University College London;Natural Science
The Queen's University Belfast;Business Management
University of Oxford;Fine Art
University College London;Economics
University of Greenwich;Extended Civil Engineering
University of Dundee;Life Sciences (with Dundee and Angus College)
University of Essex;Finance and Mathematics (including Year Abroad)
University of Cambridge;Biological Science — Sanger Institute
University College London;Medicine
University of Kent at Canterbury;Physics
University of Kent at Canterbury;Forensic Science
University of Sussex;Politics
University of Cambridge;Medical Science — CIMR
University of Cambridge;Medicine
University of Bradford;International Relations, Politics and Security Studies
University of Essex;Teaching English as a Foreign Language
University of Dundee;Architecture
University of Essex;English Language and History (including Year Abroad)
University of Dundee;English Law with French
University College London;Language Sciences with specialisation in Language Development
University of Manchester;Advanced Aerospace Materials Engineering
Coventry University;Psychology and Criminology
Coventry University;Medical and Pharmacological Sciences
University of Warwick;Marketing and Strategy
University of Cambridge;Medical Science
University College London;Effective Learning and Teaching
University of Kent at Canterbury;Politics and International Relations with a Year in Continental Europe
University of Cambridge;International Relations
University of East Anglia;Speech and Language Therapy
University of Cambridge;Medical Science — MRC Epidemiology Unit
University of Cambridge;Biostatistics
University College London;Early Years Education
University of Birmingham;Modern Languages and and with Film Studies
University of East Anglia;Medicine with a Foundation Year
Online Business School;Business Management University Foundation programme (Level 3 — 120 Credits)
University of Dundee;International Business with French
University of Essex;Finance
Brunel University Uxbridge;Business Computing (Human Computer Interaction)
University of Kent at Canterbury;American Studies (Latin America)
Royal Holloway and Bedford New College;Ancient History
University College London;Developmental and Stem Cell Biology
University College London;Child and Adolescent Mental Health
University College London;Psychology of Education
The Queen's University Belfast;Mechanical Engineering
The Queen's University Belfast;Theoretical Physics
Brunel University Uxbridge;Finance and Accounting
Coventry University;Graphic Design
University of Birmingham;International Relations with Spanish
University of Essex;Financial Economics (including Year Abroad)
University of Kent at Canterbury;French and Business Administration
Brunel University Uxbridge;Biomedical Sciences (Biochemistry)
University of Birmingham;Mathematics and an Arts Subject Joint Honours
University of Lancaster;Executive MBA
University of Birmingham;Chemical Engineering and By Research (Speciality Products Specialism)
University College London;City Planning
University of Greenwich;Nursing (Pre-Registration) — Adult Nursing (Medway Campus)
University of Oxford;Cuneiform Studies
University of Cambridge;Anglo-Saxon Norse and Celtic
University College London;Gender Society and Representation
University of Kent at Canterbury;Classical and Archaeological Studies and English and American Literature
University of Oxford;International Relations
University Campus Suffolk;Psychology and Sociology
Coventry University;Sociology
University College London;Psychology and Language Sciences
University College London;Archaeology Grad Dip
University of Greenwich;Statistics Combined Degrees
University of Kent at Canterbury;International Business with a Year in Industry
University Campus Suffolk;Criminology
University College London;Biomedical Sciences
University of Southampton;Official Statistics
University of Kent at Canterbury;Business and Management (Retail) with a Year in Industry
University of Dundee;European Politics with German
University of Oxford;Evidence Based Health Care Medical Statistics
University College London;Applied Medical Sciencesi
University College London;Finance
University of Hertfordshire;Environmental Management
University of Kent at Canterbury;European Studies (Humanities) — German
University of Southampton;Electromechanical Engineering
The Queen's University Belfast;Environmental and Civil Engineering
University of Southampton;Electromechanical Engineering
University of Kent at Canterbury;Management in Primary Care (subject to Approval)
University of East Anglia;International Development with Overseas Experience
University of East Anglia;International Relations and Modern History
University College London;Physics and Engineering in Medicine Radiation Physics
Brunel University Uxbridge;Theatre and Creative Writing
University of Essex;Literature with Modern Languages
University of Kent at Canterbury;Mathematics Including a Foundation Year
University College London;Clinical and Public Health Nutrition
Cardiff University;NERC Earth Surface Processes
University of Kent at Canterbury;Computer Systems Engineering with a Year in Industry
Royal Holloway and Bedford New College;European Philosophy
University College London;Medical Sciences and Engineering
University of Oxford;Music — Performance
University of Oxford;Mathematical and Computational Finance
Metropolitan University;Management and Strategic Leadership
University of Kent at Canterbury;Politics and International Relations with a Language
University of Dundee;English and Philosophy
Cardiff University;Housing
University of Essex;Drama
University of Kent at Canterbury;Comparative Literature and Religious Studies
University of East Anglia;Liberal Arts
University College London;Greek with Latin
University College London;Global Health and Development tropEd programme
The Queen's University Belfast;Chemistry
University of London;Quantitative Finance
Coventry University;Business, Economics, Finance and Management (International Year 1)
University of Kent at Canterbury;Humanities
The University of Buckingham;Art History with English Literature
University of Greenwich;Health and Wellbeing
University College London;Electronic and Electrical Engineering
Bangor University;Finance
University of Kent at Canterbury;Contemporary Literature (subject to Approval)
University College London;Mathematics and Statistical Science
University of Kent at Canterbury;Italian and Computing
University of Southampton;Electronic Engineering with Mobile and Secure Systems
The University of Buckingham;Art History with Heritage Management
University of Kent at Canterbury;Italian and Religious Studies
Coventry University;Sociology and Criminology
University Campus Suffolk;Early Childhood Studies
Metropolitan University;Medical Genetics
University Campus Suffolk;Applied Computing (Progression Route)
Brunel University Uxbridge;Secondary Education (Physics with Mathematics) with Recommendation for QTS
University of Kent at Canterbury;American Studies
University of Essex;Modern History
University of Greenwich;Business Economics
University College London;Planning and Real Estate
University of East Anglia;Environmental Sciences with a Year Abroad
University of Birmingham;Philosophy
Glasgow Caledonian University;Orthoptics
University of Kent at Canterbury;Biochemistry
London School of Economics and Political Science;Geography with Economics
King's College London;Global Air Quality Management and Science
University of Kent at Canterbury;Comparative Literature and French with a Year Abroad
University College London;Health and Society — Social Epidemiology
University of Oxford;Clinical Psychology
University of Bath;Electrical Power Systems
University of Kent at Canterbury;Italian and Philosophy
The University of Buckingham;Law
University College London;Mathematics with Modern Languages
The University of Buckingham;Marketing with Spanish
The Queen's University Belfast;Land Use and Environmental Management
University of Greenwich;Quantity Surveying
University of Dundee;Philosophy
The Queen's University Belfast;Politics
King's College London;Shakespearean Studies
University of Dundee;International Business with Marketing
University of Dundee;Psychology with German
University College London;Law with German Law
University of Oxford;Politics
University College London;Classics
University of Dundee;Geography and Environmental Science
University of Kent at Canterbury;Italian and German
University of Kent at Canterbury;Hispanic Studies and Italian
University of Kent at Canterbury;Chemistry with a Year in Industry
University of East Anglia;Biological Sciences (Part Time)
University College London;Russian with an East European Language
Cranfield University;Executive Human Capital
Bournemouth University;Music and Audio Technology
University of Essex;Modern Languages with Latin American Studies
University of Cambridge;Health Medicine and Society
University of Oxford;Geography
University of Leeds;Applied Theatre and Intervention
The University of Buckingham;Art History with Spanish
University of Dundee;Physics and Microelectronics
University College London;Geography
University of Leicester;Molecular Genetics
University of York;Computer Science
University of Southampton;Electronic Engineering
University of Greenwich;Extended Mechanical Engineering,
University of Kent at Canterbury;Intellectual and Developmental Disabilities
University of Dundee;Molecular Biology
University of East Anglia;International Development with Environment and Society with Overseas Experience
University College London;Civil Engineering
University of Cambridge;Choral Studies
Brunel University Uxbridge;Music Performance
University of Essex;Business Management and Modern Languages
University College London;Central and South-East European Studies
University College London;Comparative Literature
University College London;Design for Performance and Interactionrch
Glasgow Caledonian University;Pharmacology
Brunel University Uxbridge;Politics and History
University College London;Clinical Ophthalmology
University College London;Comparative Education
University of Essex;Film Studies and Literature
University of Greenwich;English Literature
University College London;Psychology
University of Oxford;English Local History
University College London;Paediatrics and Child Health Global Child Health
University of Kent at Canterbury;Computer Systems Engineering with a Year in Industry
University of Greenwich;Biomedical Sciences
University of Cambridge;Building History
University College London;Film Studies
Arden University;Engineering Management
University of Bradford;Chemical Engineering
University of Essex;Mathematics with Computing (including Year Abroad)
University College London;Biochemistry
University of Leeds;Transport Planning
The Queen's University Belfast;Business Information Technology
University of Kent at Canterbury;Comparative Literature and Hispanic Studies with a Year Abroad
Brunel University Uxbridge;Mathematics
University of Warwick;International Security
University College London;Developmental Psychology and Clinical Practice
University College London;Mathematics Education
University of Bradford;Peace, Conflict and Development
University of East Anglia;Medicine
University of Wales;Leadership
University of Kent at Canterbury;Asian Studies and English Language and Linguistics
University of Oxford;Computer Science
University College London;Medieval and Renaissance Studies
Cardiff University;Clinical Optometry
University of York;Community Music
University of Kent at Canterbury;Medical Anthropology
University College London;Physics and Engineering in Medicine by Distance Learning
University of Cambridge;Physics
University of Dundee;Biochemistry
King's College London;Mathematics
University of Leeds;International Human Rights Law
University of Greenwich;Information Technology Management for Business
The Queen's University Belfast;Mechanical Engineering (Sandwich)
Glasgow Caledonian University;Biomedical Science
University of Greenwich;Paramedic Science
Coventry University;Politics
Bournemouth University;Occupational Therapy
University of Edinburgh;Structural and Fire Safety Engineering
University of Kent at Canterbury;Computing (Consultancy) with a Year in Industry
University of Greenwich;Human Nutrition
University of Greenwich;Construction Management and HNC
University of Sunderland;Mechanical Engineering
University of East Anglia;Culture, Literature and Politics
Imperial College London;Tropical Forest Ecology
University of Cambridge;Obstetrics and Gynaecology
University of Oxford;Contemporary Chinese Studies
The Queen's University Belfast;Biomedical Science
University of Oxford;Music
University of Essex;Financial Economics
University of Leicester;Ancient History and Classical Archaeology (and Diploma and Certificate)
University of Cambridge;Asian and Middle Eastern Studies by Research — Japanese Studies
Imperial College London;Materials Science and Engineering
University of Essex;Spanish Studies and Modern Languages
University of Essex;Sociology with Human Rights
London School of Economics and Political Science;Sociology
University College London;Power Systems Engineering
Queen Mary University of London;Creative Industries and Arts Organisation
University of Southampton;Computer Science with Image and Multimedia Systems
University of East Anglia;Business Information Systems
University of Essex;American Studies with Film (3 years)
University of Essex;Philosophy and Modern Languages
University of Dundee;Molecular Genetics
Royal Holloway and Bedford New College;Business Information Systems
University of Edinburgh;Criminal Law and Criminal Justice
BPP University;Management with Finance
University of Dundee;International Business with Financial Management
University of Lincoln;Biochemistry
University of Oxford;Social Policy
Imperial College London;Geology with a year Abroad
Brunel University Uxbridge;Functional Neuroimaging
University of Essex;International Relations
University College London;Health Psychology
University of Oxford;New and Sustainable Photovoltaics
University of Oxford;Statistical Science
University of Dundee;English Law with German
University College London;Psychology
University of Essex;European Studies with Spanish
University of Greenwich;Drama
University College London;Geophysics
University of Sunderland;Public Relations
University of Essex;Modern Language and Linguistics
Brunel University Uxbridge;Psychology and Sociology
University College London;Advanced Materials Science
Cardiff University;ESRC-funded Studentship in Economics
University of East Anglia;Environmental Geophysics with a Year Abroad
